       step,          time,       molecule,  site,   Z,  type,       mass,         charge,          x,             y,             z,             fx,            fy,            fz,            vx,            vy,            vz
              1,  0.900000E-02,      26,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.779977E+01, -0.198201E+01,  0.761809E+01, -0.670349E+01, -0.966590E+01,  0.324198E+01,  0.581844E+01, -0.440744E+01,  0.562218E+01
              1,  0.900000E-02,      26,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.714929E+01, -0.682152E+00,  0.770786E+01, -0.352328E+01, -0.694046E+01,  0.193736E+02, -0.284886E+01,  0.703958E+01,  0.208604E+01
              1,  0.900000E-02,      27,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.444492E+01,  0.243350E+01,  0.142428E+00, -0.419441E+01, -0.382281E+01, -0.159550E+02,  0.661013E+01,  0.631778E+01,  0.513784E+01
              1,  0.900000E-02,      27,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.391890E+01,  0.269091E+01, -0.659343E+00, -0.406245E+01, -0.445417E+00,  0.805933E+01,  0.114459E+02, -0.747155E+01, -0.673538E+01
              1,  0.900000E-02,      27,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.384332E+01,  0.272582E+01,  0.828867E+00,  0.413864E+01,  0.430650E+01,  0.125798E+02,  0.314597E+01,  0.204524E+01, -0.105040E+02
              1,  0.900000E-02,      28,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.816505E+01, -0.943362E+01, -0.596127E+01,  0.546619E+01, -0.190042E+02, -0.237206E+02,  0.563542E+01,  0.879738E+01,  0.233234E+01
              1,  0.900000E-02,      28,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.835247E+01, -0.864640E+01, -0.546459E+01,  0.870037E+01,  0.286588E+02,  0.116687E+02,  0.978639E+01,  0.726231E+01,  0.111218E+02
              1,  0.900000E-02,      28,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.751164E+01, -0.981108E+01, -0.536439E+01, -0.216355E+02, -0.127853E+02,  0.116877E+02,  0.532509E+01,  0.293253E+01,  0.813201E+01
              1,  0.900000E-02,      29,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.716850E+00,  0.261790E+01,  0.724011E+01,  0.815129E+01, -0.137300E+02,  0.150696E+02,  0.636030E+01,  0.471748E+01,  0.128815E+01
              1,  0.900000E-02,      29,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.799175E-01,  0.208574E+01,  0.749342E+01, -0.374785E+01,  0.785677E+01, -0.573372E+01,  0.139672E+02,  0.127812E+02,  0.201301E+01
              1,  0.900000E-02,      29,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.129584E+01,  0.240452E+01,  0.801616E+01, -0.386525E+01,  0.283334E+01, -0.839867E+01,  0.525635E+01,  0.693656E+01,  0.961721E+01
              1,  0.900000E-02,      30,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.533935E+01,  0.533040E+01,  0.560805E+01, -0.176626E+01, -0.731300E+01,  0.179611E+01,  0.151170E+01,  0.579226E+01,  0.583506E+01
              1,  0.900000E-02,      30,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.631113E+01,  0.521516E+01,  0.549128E+01,  0.231323E+01,  0.180813E+01,  0.121069E+01, -0.262043E+01,  0.110720E+01,  0.928152E+01
              1,  0.900000E-02,      30,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.516812E+01,  0.471012E+01,  0.635218E+01,  0.638215E+00,  0.435562E+01, -0.231446E+01, -0.259800E+01, -0.557517E+01,  0.820573E+00
              1,  0.900000E-02,      31,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.718051E+01, -0.594105E+01, -0.790798E+01, -0.182718E+02, -0.439020E-01, -0.415803E+00,  0.687313E+01,  0.314765E+01,  0.412106E+01
              1,  0.900000E-02,      31,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.622518E+01, -0.585021E+01, -0.794173E+01,  0.128505E+02,  0.211730E+01,  0.119659E+01,  0.963668E+01,  0.512615E+01,  0.143201E+02
              1,  0.900000E-02,      31,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.743499E+01, -0.555504E+01, -0.877500E+01,  0.476614E+01, -0.703795E+00,  0.110722E+01, -0.530319E+01,  0.667377E+00, -0.912167E-01
              1,  0.900000E-02,      32,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.883720E+01, -0.823305E+00,  0.991324E+01, -0.296520E+02, -0.525907E+01,  0.601449E+01,  0.378488E+01,  0.579889E+01,  0.532651E+01
              1,  0.900000E-02,      32,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.972347E+01, -0.471995E+00,  0.982614E+01,  0.183351E+02,  0.115834E+02, -0.924170E+00,  0.974687E+00, -0.389629E+01,  0.891077E+01
              1,  0.900000E-02,      32,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.832905E+01, -0.592716E-01,  0.102879E+02,  0.115800E+02, -0.365484E+01, -0.535388E+01, -0.590247E+01,  0.231104E+02,  0.276239E+01
              1,  0.900000E-02,      33,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.680064E+01,  0.155019E+01, -0.741987E+00, -0.162085E+02,  0.289836E+01,  0.966621E+01,  0.851456E+01,  0.297695E+01,  0.197430E+01
              1,  0.900000E-02,      33,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.602259E+01,  0.183892E+01, -0.234639E+00,  0.748804E+01,  0.292471E+01,  0.307938E+01, -0.636169E+01,  0.187606E+02, -0.504115E+00
              1,  0.900000E-02,      33,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.641441E+01,  0.153092E+01, -0.161611E+01,  0.381132E+01, -0.591482E+01, -0.155836E+02,  0.703155E+01, -0.809133E+01,  0.805925E+01
              1,  0.900000E-02,      34,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.793427E+01,  0.179693E+01, -0.984796E+01,  0.680366E+01,  0.342482E+01,  0.480336E+01,  0.798801E+01,  0.723963E+01,  0.683208E+01
              1,  0.900000E-02,      34,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.737890E+01,  0.246817E+01, -0.103288E+02, -0.838888E+01, -0.506608E+01,  0.965002E+01,  0.908261E+01, -0.124863E+02,  0.286845E+01
              1,  0.900000E-02,      34,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.822174E+01,  0.228558E+01, -0.903186E+01,  0.623340E+01,  0.365068E+01, -0.131548E+02,  0.669987E+01,  0.687937E+01, -0.832239E+01
              1,  0.900000E-02,      35,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.443472E+01,  0.518454E+01,  0.300400E+01, -0.341027E+01,  0.135207E+02, -0.348549E+01,  0.530799E+01,  0.606974E+01,  0.766274E+01
              1,  0.900000E-02,      35,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.467429E+01,  0.528250E+01,  0.395265E+01,  0.230069E+01, -0.850134E+01,  0.161604E+01,  0.111818E+02,  0.194757E+01,  0.225137E+02
              1,  0.900000E-02,      35,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.409964E+01,  0.427781E+01,  0.291297E+01,  0.301436E+01, -0.528713E+01,  0.416956E+01, -0.402576E+01,  0.813571E+01,  0.109377E+01
              1,  0.900000E-02,      36,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.797221E+01,  0.105443E+01, -0.181065E+01,  0.469457E+01,  0.689429E+01,  0.500127E+01,  0.508394E+01,  0.498644E+01, -0.209138E+00
              1,  0.900000E-02,      36,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.879758E+01,  0.148182E+01, -0.211498E+01,  0.343866E+01, -0.220027E+01, -0.376585E+01,  0.151681E+01, -0.525336E+00,  0.224765E+02
